peak_year,peak_val,trough_year,trough_val,drop,duration,rebounded,overshoot,recovery_time,max_after,max_after_year,ongoing,code,entity,region
1964,0.595,1967,0.554,0.040999999999999925,3,True,0.32300000000000006,42.0,0.918,2009,False,HRV,Croatia,Europe
2009,0.918,2015,0.886,0.03200000000000003,6,False,,,0.917,2024,False,HRV,Croatia,Europe
1794,0.232,1799,0.08,0.15200000000000002,5,True,0.279,212.0,0.511,2011,False,HTI,Haiti,North America
1871,0.256,1958,0.22,0.036000000000000004,87,True,0.255,53.0,0.511,2011,False,HTI,Haiti,North America
1972,0.269,1983,0.231,0.038000000000000006,11,True,0.242,28.0,0.511,2011,False,HTI,Haiti,North America
2002,0.496,2004,0.456,0.03999999999999998,2,True,0.015000000000000013,7.0,0.511,2011,False,HTI,Haiti,North America
2012,0.511,2023,0.391,0.12,11,False,,,0.403,2025,True,HTI,Haiti,North America
1935,0.414,1944,0.252,0.16199999999999998,9,True,0.49400000000000005,49.0,0.908,1993,False,HUN,Hungary,Europe
1947,0.511,1953,0.412,0.09900000000000003,6,True,0.397,40.0,0.908,1993,False,HUN,Hungary,Europe
1994,0.908,2000,0.867,0.041000000000000036,6,False,,,0.875,2002,False,HUN,Hungary,Europe
1957,0.342,1960,0.297,0.04500000000000004,3,True,0.38999999999999996,56.0,0.732,2016,False,IDN,Indonesia,Asia
2016,0.732,2023,0.685,0.04699999999999993,7,False,,,0.73,2024,True,IDN,Indonesia,Asia
2003,0.674,2019,0.629,0.04500000000000004,16,False,,,0.672,2021,False,IND,India,Asia
2021,0.672,2024,0.629,0.04300000000000004,3,False,,,0.658,2025,True,IND,India,Asia
1978,0.331,1980,0.163,0.168,2,True,0.019999999999999962,38.0,0.351,2018,False,IRN,Iran,Asia
2018,0.351,2023,0.311,0.03999999999999998,5,False,,,0.327,2024,True,IRN,Iran,Asia
1959,0.299,1980,0.233,0.06599999999999998,21,True,0.291,43.0,0.59,2023,False,IRQ,Iraq,Asia
1988,0.314,1996,0.245,0.069,8,True,0.27599999999999997,27.0,0.59,2023,False,IRQ,Iraq,Asia
2022,0.935,2024,0.891,0.04400000000000004,2,False,,,0.891,2024,True,ISL,Iceland,Europe
1921,0.275,1943,0.187,0.08800000000000002,22,True,0.655,79.0,0.93,2022,False,ITA,Italy,Europe
