code,entity,n_years,year_start,year_end,S_floor,S_ceil,k,t_mid,v,R2
POL,Poland,74,1950,2023,-0.9315831028495656,-2.9687221144885704e-24,0.016757956035194,1911.7939802253088,0.0050000000001487,0.9389598914687948
PRK,North Korea,74,1950,2023,-0.9593478515146516,-0.7090720412007878,0.0352955293016157,1914.1254512150565,0.0050000000024894,0.9828303476740816
PRT,Portugal,74,1950,2023,-0.8335471698678838,-0.1140061905874952,1.3186220488102052,1973.461043538822,0.005,0.9553858484430152
PRY,Paraguay,74,1950,2023,-0.8653906489424973,-0.3239497688892834,0.2541150023664469,1989.2902542792444,0.005,0.954783688472452
QAT,Qatar,39,1950,2023,-0.9446437954881868,-0.6594309576644017,0.0788562483465157,1982.0045433875985,0.2988618836933647,0.9801190211454924
ROU,Romania,74,1950,2023,-0.7590497156903016,-1.5213889045665654e-19,0.0365276310410935,1975.5701224425447,0.6717732837213705,0.9562202712136872
RUS,Russia,74,1950,2023,-0.8852896801291776,-0.3242886028289766,0.2121671577695839,1987.8785004423423,13.606834107160449,0.971743546269128
RWA,Rwanda,74,1950,2023,-0.9644077913482488,-0.2092709216837877,0.5795460794560667,1998.785939882404,19.99999999999626,0.9592820571897832
SAU,Saudi Arabia,21,2003,2023,-0.9623793189913338,-0.6182108127109165,0.3827617179758983,2017.7105168638043,3.862013370071213,0.9639332967313412
SDN,Sudan,74,1950,2023,-0.8818265913500445,-0.6889256312711163,0.0468546455915458,1970.2561114989617,0.0050000001622858,0.7135955467704675
SEN,Senegal,74,1950,2023,-0.7707261135797249,-0.2023382605974547,0.1046813259429056,1960.4720327068867,0.005,0.9802041709947026
SGP,Singapore,72,1950,2023,-0.755862060488285,-0.1798312476250268,0.0525765515314276,1966.6964106768276,0.005,0.954969150678341
SLB,Solomon Islands,74,1950,2023,-0.7850105429222122,-1.1505851233381707e-11,0.2360224855006413,2038.5804910541128,7.892894513508795,0.9303878941818916
